movie_id,movie_name
1,Marru a Prefect Man
2,Fly Me to Polaris
3,Days of Tomorrow
4,My Dear Son
5,The Days of Being Dumb
6,Hand Phone
7,Time and Tide
8,"Kung Fu Panda 3,To Me the Way"
9,"Double Tap,From ashes to ashes"
10,Murderer
11,Perhaps Love
12,Sacrifice
13,Happy Camp: Bring Happiness Home
14,"McDull, Prince de la Bun"
15,"Bright  Heart,The Message"
16,"Cold War,Anna Magdalena"
17,"July Rhapsody,Leslie Cheung"
18,"Hollywood Hong-Kong,A West Lake Moment"
19,American Dreams in China
20,Call for Love
21,Last Winner
22,Life and Death Plunder
23,New Shaolin Temple
24,Mojin-The Lost Legend
25,Foreign Lands
26,"1:99 Shorts,Days of Being Wild"
27,Left Right Love Destiny
28,One Night in Mongkok
29,Forever Young
30,Insanity
31,"Bullet in the Head,A Chinese Ghost Story III:TaoTaoTao"
32,Chop Socky: Cinema Hong Kong
33,Second Time Around
34,Happy Running
35,I Am Not Madame Bovary
36,Love in The Buff
37,A World Without Thieves
38,The Message
39,"Chop Socky: Cinema Hong Kong,Earth: One Amazing Day"
40,Wu Yen
41,My Boyfriends
42,Hollywood Hong-Kong
43,The Witness
44,"Foreign Lands,The Hidden Battle"
45,"One Night in Mongkok,Help!!!"
46,"To Live and Die in Tsimshatsui,The Enigma of Love"
47,TheBare-Footed Kid
48,My Way
49,Jackie Chan: My Stunts
50,The Bullet Vanishes
51,New Police Story
52,"The Assassin,Love Is Not a Game But a Joke"
53,No Man's Land
54,July Rhapsody
55,And I Hate You So
56,"Infernal Affairs,What a Wonderful World"
57,The Crossing I
58,Children From The Distant Planet
59,King of Comedy
60,The Crossing II
61,"Flash Point,New Shaolin Temple"
62,As The Light Goes Out
63,The Swordsman
64,City Hunter
65,Chongqing Blues
66,Future Cops
67,Infernal Affairs
68,Metade Fumaca
69,"Shaolin Popey,Forever Friends"
70,Woman Who Flirt
71,"A West Lake Moment,The Little Chinese Seamstress"
72,Shaolin Popey
73,Tiramisu
74,Suzhou River
75,To Miss with Love
76,"The Viral Factor,The Beast Stalker"
77,"Nana's War,Should've Loved You"
78,"Hand Phone,Double Xposure"
79,The Breakup Guru
80,"1:99 Shorts,Anna Magdalena"
81,"All's Well, Ends Well 2012"
