movie_id,movie_name
1,Iron Man
2,Zodiac (Crime Fiction Film)
3,End of Watch
4,The Secret Life of Bees
5,A Walk to Remember
6,Turbo
7,Home Alone
8,Ferris Bueller's Day Off
9,The Martian
10,Pulp Fiction
11,The Rules of Attraction
12,The Princess Bride (Romantic comedy Film)
13,Fight Club
14,Panic Room
15,Wreck-It Ralph
16,There's Something About Mary
17,I Am Comic
18,Space Jam
19,Full Metal Jacket
20,A Clockwork Orange
21,Thor: The Dark World
22,No Strings Attached
23,Where the Heart Is
24,Princess Protection Program
25,Prison
26,I Heart Huckabees
27,Red Riding Hood
28,The Guard
29,11/22/63
30,Pet Sematary (Horror Film)
31,The Dead Zone
32,Mulholland Drive
33,Vigilante (Action/Adventure Film)
34,Thick as Thieves
35,Bend It Like Beckham
36,Snatch
37,The Gathering Storm (Political drama Film)
38,Valkyrie
39,The Girl on the Train
40,eXistenZ
41,Gravity
42,The Terminal
43,That Thing You Do!
44,Pushing Tin
45,Hot Fuzz
46,Star Trek (Science Fiction Film)
47,Moonrise Kingdom
48,Win a Date with Tad Hamilton!
49,The Three Stooges
50,2012
51,The Dark Knight
52,Fast Times at Ridgemont High
53,Into the Wild
54,The Incredible Hulk
55,Iron Man 3
56,The Situation
57,Battleship
58,The Big Lebowski
59,The Incredible Burt Wonderstone
60,Wild Geese
61,X-Men: Days of Future Past
62,The Jungle Book 2
63,The Game
64,X-Men
65,X-Men 2
66,Superman Returns
67,We Are Marshall
68,When a Stranger Calls (Horror Film) #10
69,Como agua para chocolate
70,True Romance
71,Death Proof
72,In Her Shoes
73,The Crucible
74,The Great Gatsby (Award-Winning Work)
75,Spider-Man
76,The Pursuit of Happyness
77,Seven Pounds
78,Remember the Titans
79,Training Day
80,The Hunted
81,Ghostbusters III
82,Arbitrage
83,No Country for Old Men
84,True Grit
85,Spider-Man 2
86,Fury
87,The Tree of Life
88,The Pledge
89,Mission: Impossible - Ghost Protocol
90,Unforgiven
91,The Kids Are All Right
92,District 9
93,Æon Flux
94,RocknRolla
95,The Fast and the Furious
96,Fast Five
97,Somewhere
98,
99,Reservoir Dogs
100,The Long Kiss Goodnight
101,Titanic
102,White Oleander
103,Indiana Jones and the Kingdom of the Crystal Skull
104,An Abundance of Katherines
