global_id,movieName,db_id,db_id
0,精灵鼠小弟(1999),1295242,1295242
1,机智的山羊(0),2123620,2123620
2,我知道(1956),2252726,2252726
3,半夜鸡叫(0),2157295,2157295
4,小马虎(1980),1431949,1431949
5,神笔(0),1431718,1431718
6,大决战之平津战役(1992),1307729,1307729
7,赛德克·巴莱(上)：太阳旗(0),10450409,10450409
8,赛德克·巴莱(2011),3993559,3993559
9,南征北战(1952),1463390,1463390
10,罪恶部队(2009),3148702,3148702
11,黑暗真相(0),20370556,20370556
12,小鲤鱼跳龙门(1958),1431714,1431714
13,火影忍者剧场版：大活剧！雪姬忍法帖！(2004),1475197,1475197
14,怕羞的黄莺(1960),2260781,2260781
15,三个邻居(1956),2030752,2030752
16,小燕子(0),2260789,2260789
17,黑公鸡(1980),2158665,2158665
18,没牙的老虎(0),2997293,2997293
19,木头姑娘(1958),2173221,2173221
20,狐狸分饼(0),3035306,3035306
21,夹子救鹿(0),2171058,2171058
22,女娲补天(0),1815504,1815504
23,猴子钓鱼(0),1815499,1815499
24,巫婆、鳄鱼和小姑娘(1985),2303282,2303282
25,聊天(2001),3642289,3642289
26,金田一少年之事件簿 剧场版1：歌剧院新杀人事件(1996),2286777,2286777
27,迷失：过去，现在与未来(2008),2977973,2977973
28,不肯去观音(0),24269094,24269094
29,上帝之子(0),25747280,25747280
30,圣斗士星矢：真红少年传说(1988),3364630,3364630
31,传说中的圣斗士奥路菲(0),2133975,2133975
32,猫头鹰王国：守卫者传奇(2010),3041281,3041281
33,色欲情仇(2012),10744758,10744758
34,年度最佳学生(2012),10461324,10461324
35,26个特殊劫匪(0),20388674,20388674
36,四戒(0),10491655,10491655
37,人质(0),4160568,4160568
38,恶魔的艺术3：鬼影随行(0),3095189,3095189
39,骆驼客(2012),10562402,10562402
40,帕洛玛之旅(2014),10764051,10764051
41,幽暗山谷(0),22254890,22254890
42,弱点(2009),3552028,3552028
43,我的小小英雄(2012),10432910,10432910
44,嘻哈青春(2010),10508877,10508877
45,不归路(2009),3410465,3410465
46,危险工作(2013),10678345,10678345
47,屠杀公园(2016),26735676,26735676
48,诡爱(2012),11636413,11636413
49,终极大冒险(2013),24522852,24522852
50,禁忌游戏之迷藏(2013),11627065,11627065
51,音痴诊所(0),10777678,10777678
52,淘金俏冤家(0),1920730,1920730
53,疯狂保姆(2012),6875400,6875400
54,身份窃贼(0),10558252,10558252
55,金丝笼(2013),24371128,24371128
56,海豚的故事2(2014),25670379,25670379
57,巴菲的奇妙命运(2012),10355329,10355329
58,印度超人3(0),3076031,3076031
59,我是你的英雄(0),22389952,22389952
60,双面劳伦斯(2012),4838667,4838667
61,斯文加利(2013),10727625,10727625
62,恋者多喜欢(2014),19944572,19944572
63,给太太打工(1997),1483581,1483581
64,该死的歌德(0),24815502,24815502
65,幼儿园警探(1990),1295192,1295192
66,血缘(2013),6052915,6052915
67,奇怪的猫咪(2013),20561487,20561487
68,大地与阴影(2015),26371553,26371553
69,惩戒者(2013),21765384,21765384
70,死亡拼图(2014),25818613,25818613
71,立地成佛(2013),6874489,6874489
72,解码安妮·帕克(2013),3822672,3822672
73,人生回环赛(2013),24741641,24741641
74,白专家(2014),5960647,5960647
75,湿婆之舞(2012),20399313,20399313
76,较量(2013),25823663,25823663
77,正义降临(0),20388678,20388678
78,爱情的选择(2016),26309157,26309157
79,狗狗监护权(2016),26876229,26876229
80,我是谁的宝贝(2017),26955948,26955948
81,绝命盗窃(0),25749872,25749872
82,桃色凶车(2015),26474040,26474040
83,追逐时间(0),23383749,23383749
84,阿布格莱布的男孩(0),10792829,10792829
85,巨人(2014),25977062,25977062
86,小奸小恶(0),26792059,26792059
87,封门诡影(2015),22994771,22994771
